"LUType","LUItem","LUDescription"
"1  ","1  ","LAND ONLY                                         "
"1  ","10 ","Land with new building                            "
"1  ","11 ","Household, single family units                    "
"1  ","12 ","Multiple family residence (Residential, 2-4 units)"
"1  ","13 ","Multiple family residence (Residential, 5+ units) "
"1  ","14 ","Residential condominiums                          "
"1  ","15 ","Mobile home parks or courts                       "
"1  ","16 ","Hotels/motels                                     "
"1  ","17 ","Institutional lodging                             "
"1  ","18 ","All other residential not elsewhere coded         "
"1  ","19 ","Vacation and cabin                                "
"1  ","2  ","LAND WITH NEW BUILDING                            "
"1  ","21 ","Food and kindred products                         "
"1  ","22 ","Textile mill products                             "
"1  ","23 ","Apparel & other finished products                 "
"1  ","24 ","Lumber and wood products (except furniture)       "
"1  ","25 ","Furniture and fixtures                            "
"1  ","26 ","Paper and allied products                         "
"1  ","27 ","Printing and publishing                           "
"1  ","28 ","Chemicals                                         "
"1  ","29 ","Petroleum refining and related industries         "
"1  ","3  ","LAND WITH PREV USED BLDG                          "
"1  ","30 ","Rubber and miscellaneous plastic products         "
"1  ","31 ","Leather and leather products                      "
"1  ","32 ","Stone, clay and glass products                    "
"1  ","33 ","Primary metal industries                          "
"1  ","34 ","Fabricated metal products                         "
"1  ","35 ","Prof. scientific, controlling instr; optical goods"
"1  ","39 ","Miscellaneous manufacturing                       "
"1  ","4  ","LAND WITH MOBILE HOME                             "
"1  ","41 ","Railroad/transit transportation                   "
"1  ","42 ","Motor vehicle transportation                      "
"1  ","43 ","Aircraft transportation                           "
"1  ","44 ","Marine craft transportation                       "
"1  ","45 ","Highway and street right of way                   "
"1  ","46 ","Automobile parking                                "
"1  ","47 ","Communication                                     "
"1  ","48 ","Utilities                                         "
"1  ","49 ","Other transp., com., & util. not classified       "
"1  ","5  ","TIMBER ONLY                                       "
"1  ","50 ","Condominiums - other than residential condominiums"
"1  ","51 ","Wholesale trade                                   "
"1  ","52 ","Retail trade-bldg materials, hardware, farm equip "
"1  ","53 ","Retail trade - general merchandise                "
"1  ","54 ","Retail trade - food                               "
"1  ","55 ","Retail trade-autom., marine craft, aircraft       "
"1  ","56 ","Retail trade - apparel and accessories            "
"1  ","57 ","Retail trade-furniture, home furnishings, equip.  "
"1  ","58 ","Retail trade-eating & drinking                    "
"1  ","59 ","Tenant occupied, commercial properties            "
"1  ","6  ","BUILDING ONLY                                     "
"1  ","61 ","Finance, insurance, and real estate services      "
"1  ","62 ","Personal services                                 "
"1  ","63 ","Business services                                 "
"1  ","64 ","Repair services                                   "
"1  ","65 ","Professional services (medical, dental, etc.)     "
"1  ","66 ","Contract construction services                    "
"1  ","67 ","Governmental services                             "
"1  ","68 ","Educational services                              "
"1  ","69 ","Miscellaneous services                            "
"1  ","71 ","Cultural activities and nature exhibitions        "
"1  ","72 ","Public assembly                                   "
"1  ","73 ","Amusements                                        "
"1  ","74 ","Recreational activities (gold courses, etc.)      "
"1  ","75 ","Resorts and group camps                           "
"1  ","76 ","Parks                                             "
"1  ","79 ","Other cultural, entertainment, and recreational   "
"1  ","80 ","Water or Mineral rights                           "
"1  ","81 ","Agriculture (not classified under current use law)"
"1  ","82 ","Agriculture related activities                    "
"1  ","83 ","Agr classified under current use chapter 84.34 RCW"
"1  ","84 ","Fishing activities and related services           "
"1  ","85 ","Mining activities and related services            "
"1  ","86 ","Standing Timber (separate from land)              "
"1  ","88 ","Forest land designated under chapter 84.33 RCW    "
"1  ","89 ","Other resource production                         "
"1  ","9  ","Land with mobile home                             "
"1  ","91 ","Undeveloped land (land only)                      "
"1  ","92 ","Noncommercial forest                              "
"1  ","93 ","Water areas                                       "
"1  ","94 ","Open space land classified under chapter 84.34 RCW"
"1  ","95 ","Timberland classified under chapter 84.34 RCW     "
"1  ","96 ","Improvements on leased land                       "
"1  ","99 ","Other undeveloped land                            "
"102","0  ","                                                  "
"102","101","Retail Store                                      "
"102","104","Retail(Big Box)                                   "
"102","105","Retail(Discount)                                  "
"102","106","Office Building                                   "
"102","11 ","Apartment                                         "
"102","118","Office Park                                       "
"102","122","Medical/Dental Office                             "
"102","126","Condominium(Office)                               "
"102","130","Farm                                              "
"102","137","Greenhse/Nrsry/Hort Srvc                          "
"102","138","Mining/Quarry/Ore Processing                      "
"102","140","Bowling Alley                                     "
"102","141","Campground                                        "
"102","142","Driving Range                                     "
"102","143","Golf Course                                       "
"102","145","Health Club                                       "
"102","146","Marina                                            "
"102","147","Movie Theater                                     "
"102","149","Park, Public(Zoo/Arbor)                           "
"102","150","Park, Private(Amuse Ctr)                          "
"102","152","Ski Area                                          "
"102","153","Skating Rink(Ice/Roller)                          "
"102","156","Sport Facility                                    "
"102","157","Art Gallery/Museum/Soc Srvc                       "
"102","159","Parking(Assoc)                                    "
"102","16 ","Apartment(Mixed Use)                              "
"102","160","Auditorium//Assembly Bldg                         "
"102","161","Auto Showroom and Lot                             "
"102","162","Bank                                              "
"102","163","Car Wash                                          "
"102","165","Church/Welfare/Relig Srvc                         "
"102","166","Club                                              "
"102","167","Conv Store without Gas                            "
"102","168","Conv Store with Gas                               "
"102","17 ","Apartment(Co-op)                                  "
"102","171","Restaurant(Fast Food)                             "
"102","172","Governmental Service                              "
"102","173","Hospital                                          "
"102","179","Mortuary/Cemetery/Crematory                       "
"102","18 ","Apartment(Subsidized)                             "
"102","180","Parking(Commercial Lot)                           "
"102","182","Parking(Garage)                                   "
"102","183","Restaurant/Lounge                                 "
"102","184","School(Public)                                    "
"102","185","School(Private)                                   "
"102","186","Service Station                                   "
"102","188","Tavern/Lounge                                     "
"102","189","Post Office/Post Service                          "
"102","190","Vet/Animal Control Srvc                           "
"102","191","Grocery Store                                     "
"102","193","Daycare Center                                    "
"102","194","Mini Lube                                         "
"102","195","Warehouse                                         "
"102","2  ","Single Family(Res Use/Zone)                       "
"102","20 ","Condominium(Residential)                          "
"102","202","High Tech/High Flex                               "
"102","210","Industrial Park                                   "
"102","216","Service Building                                  "
"102","223","Industrial(Gen Purpose)                           "
"102","245","Industrial(Heavy)                                 "
"102","246","Industrial(Light)                                 "
"102","247","Air Terminal and Hangers                          "
"102","25 ","Condominium(Mixed Use)                            "
"102","252","Mini Warehouse                                    "
"102","261","Terminal(Rail)                                    "
"102","262","Terminal(Marine/Comm Fish)                        "
"102","263","Terminal(Grain)                                   "
"102","264","Terminal(Auto/Bus/Other)                          "
"102","266","Utility, Public                                   "
"102","267","Utility, Private(Radio/T.V.)                      "
"102","271","Terminal(Marine)                                  "
"102","272","Historic Prop(Residence)                          "
"102","273","Historic Prop(Office)                             "
"102","274","Historic Prop(Retail)                             "
"102","275","Historic Prop(Eat/Drink)                          "
"102","276","Historic Prop(Loft/Warehse)                       "
"102","277","Historic Prop(Park/Billbrd)                       "
"102","278","Historic Prop(Transient Fac)                      "
"102","279","Historic Prop(Rec/Entertain)                      "
"102","280","Historic Prop(Misc)                               "
"102","29 ","Townhouse Plat                                    "
"102","299","Historic Prop(Vacant Land)                        "
"102","3  ","Duplex                                            "
"102","300","Vacant(Single-family)                             "
"102","301","Vacant(Multi-family)                              "
"102","309","Vacant(Commercial)                                "
"102","316","Vacant(Industrial)                                "
"102","323","Reforestation(RCW 84.28)                          "
"102","324","Forest Land(Class-RCW 84.33)                      "
"102","325","Forest Land(Desig-RCW 84.33)                      "
"102","326","Open Space(Curr Use-RCW 84.34)                    "
"102","327","Open Space(Agric-RCW 84.34)                       "
"102","328","Open Space Tmbr Land/Greenbelt                    "
"102","330","Easement                                          "
"102","331","Reserve/Wilderness Area                           "
"102","332","Right of Way/Utility, Road                        "
"102","333","River/Creek/Stream                                "
"102","334","Tideland, 1st Class                               "
"102","335","Tideland, 2nd Class                               "
"102","336","Transferable Dev Rights                           "
"102","337","Water Body, Fresh                                 "
"102","339","Shell Structure                                   "
"102","340","Bed & Breakfast                                   "
"102","341","Rooming House                                     "
"102","342","Fraternity/Sorority House                         "
"102","343","Gas Station                                       "
"102","38 ","Mobile Home Park                                  "
"102","4  ","Triplex                                           "
"102","48 ","Condominium(M Home Pk)                            "
"102","49 ","Retirement Facility                               "
"102","5  ","4-Plex                                            "
"102","51 ","Hotel/Motel                                       "
"102","55 ","Rehabilitation Center                             "
"102","56 ","Residence Hall/Dorm                               "
"102","57 ","Group Home                                        "
"102","58 ","Resort/Lodge/Retreat                              "
"102","59 ","Nursing Home                                      "
"102","6  ","Single Family(C/I Zone)                           "
"102","60 ","Shopping Ctr(Nghbrhood)                           "
"102","61 ","Shopping Ctr(Community)                           "
"102","62 ","Shopping Ctr(Regional)                            "
"102","63 ","Shopping Ctr(Maj Retail)                          "
"102","64 ","Shopping Ctr(Specialty)                           "
"102","7  ","Houseboat                                         "
"102","8  ","Mobile Home                                       "
"102","9  ","Single Family(C/I Use)                            "
"102","96 ","Retail(Line/Strip)                                "
"103","1  ","SINGLE FAMILY                                     "
"103","10 ","AMUSEMENT/ENTERTAINMENT                           "
"103","11 ","CULTURAL                                          "
"103","12 ","EDUCATIONAL SERVICE                               "
"103","13 ","COMMERCIAL SERVICE                                "
"103","14 ","RETAIL/WHOLESALE                                  "
"103","15 ","MANUFACTURING                                     "
"103","16 ","AGRICULTURAL                                      "
"103","17 ","FORESTRY                                          "
"103","18 ","FISH & WILDLIFE MGMT                              "
"103","19 ","MINERAL                                           "
"103","2  ","DUPLEX                                            "
"103","20 ","REGIONAL LAND USE                                 "
"103","21 ","MIXED USE                                         "
"103","3  ","TRIPLEX                                           "
"103","4  ","MOBILE HOME                                       "
"103","5  ","OTHER SF DWELLING                                 "
"103","6  ","MULTI-FAMILY DWELLING                             "
"103","7  ","GROUP RESIDENCE                                   "
"103","8  ","TEMPORARY LODGING                                 "
"103","9  ","PARK/RECREATION                                   "
"104","1  ","PRESENT USE                                       "
"104","2  ","INTERIM USE                                       "
"104","3  ","TEAR DOWN                                         "
"104","4  ","OTHER                                             "
"105","3  ","Separate Value                                    "
"106","1  ","Approx Square                                     "
"106","2  ","Rect or Slight Irreg                              "
"106","3  ","Long Rect or Irreg                                "
"106","4  ","Very Irreg                                        "
"108","1  ","Floor-Wall                                        "
"108","2  ","Gravity                                           "
"108","3  ","Radiant                                           "
"108","4  ","Elec BB                                           "
"108","5  ","Forced Air                                        "
"108","6  ","Hot Water                                         "
"108","7  ","Heat Pump                                         "
"108","8  ","Other                                             "
"109","1  ","Review Seg/BrdOrder                               "
"109","10 ","Post Condo Units                                  "
"109","11 ","HI on UI/Split                                    "
"109","12 ","Build tran err                                    "
"109","13 ","Value too large                                   "
"109","14 ","NProfit pcnt error                                "
"109","15 ","Misc: do not post                                 "
"109","16 ","Appl review reqd                                  "
"109","17 ","Value Select exceed threshold                     "
"109","18 ","Exceptional Properties Review Reqd                "
"109","19 ","Holdout: AffordableHousing                        "
"109","2  ","Posted via GCO                                    "
"109","21 ","Apartments, HUD                                   "
"109","3  ","Review Val Dist spec                              "
"109","30 ","Holdout: M1                                       "
"109","31 ","Contamintated Property                            "
"109","4  ","Ready to post                                     "
"109","5  ","Posted                                            "
"109","6  ","Mainframe posting error                           "
"109","7  ","UndInt Prcl; post split appsls                    "
"109","8  ","SplitAcct Prcl; post split appsls                 "
"109","9  ","Misc; post manually                               "
