GEO_CODE,DEGDAYHEAT,DEGDAYCOOL
530330323132,5423,802
530330323133,5420,802
530330323134,5421,802
530330323151,5133,685
530330323152,5357,795
530330323153,5415,809
530330323161,5189,596
530330323162,5198,595
530330323163,5187,595
530330323164,5193,596
530330323171,5223,668
530330323172,5135,693
530330323173,5033,603
530330323174,5039,603
530330323175,5135,693
530330323181,5222,591
530330323182,5224,591
530330323183,5202,589
530330323184,5221,593
530330323191,5124,534
530330323192,5078,490
530330323193,5115,534
530330323194,5369,708
530330323201,5198,581
530330323202,5113,508
530330323203,5248,624
530330323211,4945,474
530330323212,4932,482
530330323213,4927,451
530330323214,4926,451
530330323221,4960,447
530330323222,4966,447
530330323223,4951,447
530330323231,4956,463
530330323232,4951,462
530330323233,6015,733
530330323234,4958,463
530330323241,5010,513
530330323242,5023,515
530330323243,5807,780
530330323244,5802,779
530330323251,5585,818
530330323252,5558,807
530330323253,5558,807
530330323261,5299,783
530330323262,5159,673
530330323263,5351,726
530330323271,5298,783
530330323272,5216,715
530330323281,5042,645
530330323282,5048,645
530330323283,5156,675
530330323291,5146,674
530330323292,5148,674
530330324011,5608,813
530330324012,5874,378
530330324013,5876,378
530330324014,5868,377
530330324021,5869,377
530330324022,5869,377
530330324023,5495,821
530330324024,5514,821
530330325001,5360,829
530330325002,5385,834
530330325003,5322,787
530330325004,5338,789
530330326011,5420,657
530330326012,5470,515
530330326021,5429,449
530330326022,5412,431
530330326023,5419,435
530330326024,5419,435
530330327021,5446,221
530330327022,5410,409
530330327023,5268,104
530330327024,5276,104
530330327025,5873,75
530330327026,5436,403
530330327031,5446,455
530330327032,5411,282
530330327041,5572,397
530330327042,5547,404
530330327043,5451,559
530330327044,5505,449
530330328001,5484,59
530330328002,5564,31
530330328003,5751,38
530330308022,6026,533
530330308023,6333,490
530330309011,6089,563
530330309012,5713,601
530330309021,5988,621
530330309022,5987,621
530330309023,5987,621
530330310001,5738,635
530330310002,5747,632
530330311001,5717,664
530330311002,5289,431
530330311003,5563,466
530330311004,5199,287
530330311005,5707,663
530330312021,5304,334
530330312022,5409,452
530330312023,5724,549
530330312024,5471,634
530330312025,5479,648
530330312041,5115,199
530330312042,5184,158
530330312043,5429,260
530330312044,5116,199
530330312045,5270,194
530330312051,5209,635
530330312052,5217,640
530330312053,5202,456
530330312061,5210,457
530330312062,5213,574
530330312063,5210,502
530330313011,5467,217
530330313012,5211,181
530330313021,5031,171
530330313022,4981,146
530330313023,5027,171
530330313024,5020,171
530330314001,4999,153
530330314002,6014,263
530330314003,5655,364
530330314004,5773,252
530330314005,5767,252
530330315011,5352,250
530330315012,5364,254
530330315013,5202,484
530330315021,5548,294
530330315022,5324,428
530330315023,5264,505
530330316011,5440,437
530330316012,5441,436
530330316013,5467,347
530330316031,5274,407
530330316032,5124,730
530330316033,5069,730
530330316034,5276,407
530330316041,5103,604
530330316042,5088,613
530330316043,5084,613
530330316051,5328,521
530330316052,5321,520
530330316053,5129,592
530330317031,5100,687
530330317032,5048,767
530330317033,5185,705
530330317034,5107,688
530330317035,5041,717
530330317041,5030,708
530330317042,5034,682
